timestamp,symbol,price,entropy,pressure,nrg,regime,symmetry,slope,ret_3s,ret_8s,ret_21s,ret_55s,ret_89s
1768938939151,ATOM,2.31760000,3.4909,-22.6190,34.6785,Oscillatory,0.8421,0.00000127,Some(-0.01510182947877427),Some(-0.01510182947877427),Some(-0.010787021056259123),Some(-0.045305488436303644),Some(-0.0970831895063896)
1768938939150,UNIBOT,0.00000000,0.0000,0.0000,0.0000,Oscillatory,1.0000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(0.0),Some(0.0)
1768938939151,ME,0.23307000,3.3573,3.9587,16.8878,Compression,0.5000,0.00000000,Some(0.0),Some(0.0),Some(-0.0042905564851804185),Some(-0.04290556485175655),Some(-0.04290556485175655)
1768938939151,BADGER,0.00000000,0.0000,0.0000,0.0000,Oscillatory,1.0000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(0.0),Some(0.0)
1768938939151,MOODENG,0.06686100,3.5570,6.1868,22.0389,Compression,0.5000,0.00000000,Some(0.006730380939547153),Some(-0.009721661357132892),Some(0.0029912804175857375),Some(-0.07478201043956043),Some(-0.11665993628571923)
1768938939151,ZEREBRO,0.01202350,3.4950,-9.3357,25.6448,Compression,0.5000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(-0.012475568677989194),Some(-0.012475568677989194)
1768938939151,kBONK,0.00894750,3.2523,-2.8557,13.7887,Compression,0.2500,-0.00000001,Some(0.011176306230782513),Some(-0.00558815311540095),Some(0.0),Some(-0.06705783738475324),Some(-0.11176306230790269)
1768938939151,NEO,3.60830000,2.9607,-2.2074,10.8402,Oscillatory,0.6250,-0.00001192,Some(-0.016628329130059415),Some(-0.016628329130059415),Some(0.009699858659204403),Some(-0.05127068148434679),Some(-0.03602804644845591)
1768938939151,LAYER,0.13822000,3.2907,-30.6931,35.7289,Compression,0.5000,0.00000000,Some(-0.007234843003914051),Some(0.014469686007808019),Some(0.0036174215019369447),Some(-0.05787874403127224),Some(-0.05426132252931522)
1768938939151,ENA,0.18152500,3.1464,-30.5945,34.1316,Oscillatory,0.7500,0.00000020,Some(-0.0027544415369658423),Some(-0.04407106459165225),Some(-0.038562181517705275),Some(-0.11017766147912297),Some(-0.11568654455308525)
1768938939151,MON,0.01817000,2.8762,23.9506,29.0678,Compression,0.5000,0.00000000,Some(0.01375894331316731),Some(0.01375894331316731),Some(0.01375894331316731),Some(0.008255365987900387),Some(0.04402861860209721)
1768938939151,JUP,0.19133500,3.2647,-21.4309,31.9021,Compression,0.3600,0.00000024,Some(0.00783965296470327),Some(-0.005226435309787674),Some(-0.005226435309787674),Some(-0.10714192385084315),Some(-0.14895340632921705)
1768938939151,VIRTUAL,0.80714500,3.3311,-18.2297,30.9395,Compression,0.5000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(-0.1028315854028703),Some(-0.12822974806261678)
1768938939151,STRAX,0.00000000,0.0000,0.0000,0.0000,Oscillatory,1.0000,0.00000000,Some(0.0),Some(0.0),Some(0.0),Some(0.0),Some(0.0)
1768938939151,kLUNC,0.03746300,3.5116,-10.4521,26.8977,Oscillatory,0.8824,-0.00000033,Some(0.002669300376374023),Some(0.004003950564561034),Some(0.02001975282280517),Some(-0.024023703387329162),Some(-0.04938205696284533)
